metro,provider,name,lat,lon
"Beijing , China",Huawei Cloud,cn-north-1,39.9075,116.39723
"Beijing , China",Microsoft Azure,chinanorth,39.9075,116.39723
"Beijing , China",Microsoft Azure,chinanorth2,39.9075,116.39723
"Beijing , China",Tencent Cloud,ap-beijing,39.9075,116.39723
"Changsha , China",Amazon Web Services,cn-northwest-1,28.19874,112.97087
"Chengdu , China",Alibaba Cloud,cn-chengdu,30.66667,104.06667
"Chengdu , China",Tencent Cloud,ap-chengdu,30.66667,104.06667
"Chongqing , China",Tencent Cloud,ap-chongqing,29.56026,106.55771
"Guangzhou , China",Alibaba Cloud,cn-shenzhen,23.11667,113.25
"Guangzhou , China",Alibaba Cloud,cn-guangzhou,23.11667,113.25
"Guangzhou , China",Huawei Cloud,cn-south-1,23.11667,113.25
"Guangzhou , China",Huawei Cloud,cn-south-2 ,23.11667,113.25
"Guangzhou , China",Tencent Cloud,ap-guangzhou,23.11667,113.25
"Guangzhou , China",Tencent Cloud,ap-shenzhen,23.11667,113.25
"Guiyang , China",Huawei Cloud,cn-southwest-2,26.58333,106.71667
"Hangzhou , China",Alibaba Cloud,cn-hangzhou,30.29365,120.16142
"Heyuan , China",Alibaba Cloud,cn-heyuan,23.97362,114.98585
"Hong Kong , China",Alibaba Cloud,cn-hongkong,22.27832,114.17469
"Hong Kong , China",Amazon Web Services,ap-east-1,22.27832,114.17469
"Hong Kong , China",Google Cloud,asia-east2,22.27832,114.17469
"Hong Kong , China",Huawei Cloud,ap-southeast-1,22.27832,114.17469
"Hong Kong , China",Microsoft Azure,eastasia,22.27832,114.17469
"Hong Kong , China",Tencent Cloud,ap-hongkong,22.27832,114.17469
"Huhehaote , China",Alibaba Cloud,cn-huhehaote,40.81056,111.65222
"Karamay , China",Huawei Cloud,cn-northwest-1,45.58473,84.88724
"Langfang , China",Microsoft Azure,chinanorth3,39.50972,116.69472
"Nanjing , China",Alibaba Cloud,cn-nanjing,32.06167,118.77778
"Nanjing , China",Microsoft Azure,chinaeast3,32.06167,118.77778
"Nanjing , China",Tencent Cloud,ap-nanjing,32.06167,118.77778
"Qingdao , China",Alibaba Cloud,cn-qingdao,36.06488,120.38042
"Shanghai , China",Alibaba Cloud,cn-shanghai,31.22222,121.45806
"Shanghai , China",Huawei Cloud,cn-east-3,31.22222,121.45806
"Shanghai , China",Huawei Cloud,cn-east-2,31.22222,121.45806
"Shanghai , China",Microsoft Azure,chinaeast,31.22222,121.45806
"Shanghai , China",Microsoft Azure,chinaeast2,31.22222,121.45806
"Shanghai , China",Tencent Cloud,ap-shanghai,31.22222,121.45806
"Ulanqab , China",Alibaba Cloud,cn-ulanqab,41.73375,112.09115
"Ulanqab , China",Huawei Cloud,cn-north-9,41.73375,112.09115
