metro,provider,name,lat,lon
"Munich , Germany",Amazon Web Services, eu-central-1-muc-1a,48.13743,11.57549
"Athens , Greece",Amazon Web Services, eu-south-1-ath-1a,37.98376,23.72784
"Bangalore , India",Amazon Web Services, ap-south-2-blr-1a,12.97194,77.59369
"Chennai , India",Amazon Web Services, ap-south-2-maa-1a,13.08784,80.27847
"Delhi , India",Amazon Web Services, ap-south-1-del-1a,28.65195,77.23149
"Delhi , India",Google Cloud, del-zone1-1622,28.65195,77.23149
"Delhi , India",Google Cloud, del-zone1-2411,28.65195,77.23149
"Kolkata , India",Amazon Web Services, ap-south-1-ccu-1a,22.56263,88.36304
"Mumbai , India",Google Cloud, bom-zone1-2310,19.07283,72.88261
"Mumbai , India",Google Cloud, bom-zone1-554,19.07283,72.88261
"Jakarta , Indonesia",Google Cloud, cgk-zone1-5865,-6.21462,106.84513
"Jakarta , Indonesia",Google Cloud, cgk-zone1-8168,-6.21462,106.84513
"Tel Aviv , Israel",Google Cloud, tlv-zone1-99030,32.08088,34.78057
"Tel Aviv , Israel",Google Cloud, tlv-zone1-99047,32.08088,34.78057
"Milan , Italy",Google Cloud, mil-zone1-1974,45.46427,9.18951
"Milan , Italy",Google Cloud, mil-zone1-3348,45.46427,9.18951
"Milan , Italy",Google Cloud, mil-zone1-99013,45.46427,9.18951
"Milan , Italy",Google Cloud, mil-zone1-99034,45.46427,9.18951
"Osaka , Japan",Google Cloud, kix-zone1-1791,34.69374,135.50218
"Osaka , Japan",Google Cloud, kix-zone1-2072,34.69374,135.50218
"Tokyo , Japan",Google Cloud, nrt-zone1-452,35.6895,139.69171
"Tokyo , Japan",Google Cloud, nrt-zone1-738,35.6895,139.69171
"Tokyo , Japan",Google Cloud, nrt-zone1-1893,35.6895,139.69171
"Nairobi , Kenya",Amazon Web Services, af-south-1-nbo-1a,-1.28333,36.81667
"Querétaro , Mexico",Amazon Web Services, us-east-1-qro-1a,20.58806,-100.38806
"Amsterdam , Netherlands",Amazon Web Services, eu-central-1-ams-1a,52.37403,4.88969
"Amsterdam , Netherlands",Google Cloud, ams-zone1-1236,52.37403,4.88969
"Amsterdam , Netherlands",Google Cloud, ams-zone1-1320,52.37403,4.88969
"Auckland , New Zealand",Amazon Web Services, ap-southeast-2-akl-1a,-36.84853,174.76349
"Lagos , Nigeria",Amazon Web Services, af-south-1-los-1a,6.45407,3.39467
"Oslo , Norway",Amazon Web Services, eu-north-1-osl-1a,59.91273,10.74609
"Muscat , Oman",Amazon Web Services, me-south-1-mct-1a,21.0,57.0
"Lima , Peru",Amazon Web Services, us-east-1-lim-1a,-12.04318,-77.02824
"Manila , Philippines",Amazon Web Services, ap-southeast-1-mnl-1a,14.6042,120.9822
"Warsaw , Poland",Amazon Web Services, eu-central-1-waw-1a,52.22977,21.01178
"Warsaw , Poland",Google Cloud, waw-zone1-2570,52.22977,21.01178
"Warsaw , Poland",Google Cloud, waw-zone1-509,52.22977,21.01178
"Lisbon , Portugal",Amazon Web Services, eu-south-2-lis-1a,38.71667,-9.13333
"Singapore , Singapore",Google Cloud, sin-zone1-388,1.36667,103.8
"Singapore , Singapore",Google Cloud, sin-zone1-2260,1.36667,103.8
"Johannesburg , South Africa",Amazon Web Services, af-south-1-jnb-1a,-26.20227,28.04363
"Seoul , South Korea",Google Cloud, icn-zone1-3829,37.566,126.9784
"Seoul , South Korea",Google Cloud, icn-zone1-7573,37.566,126.9784
"Seoul , South Korea",Google Cloud, icn-zone1-7574,37.566,126.9784
"Seoul , South Korea",Google Cloud, icn-zone1-7674,37.566,126.9784
"Madrid , Spain",Google Cloud, mad-zone1-127,40.4165,-3.70256
"Madrid , Spain",Google Cloud, mad-zone1-130,40.4165,-3.70256
"Zürich , Switzerland",Google Cloud, zrh-zone1-81,47.36667,8.55
"Zürich , Switzerland",Google Cloud, zrh-zone1-1086,47.36667,8.55
"Taipei , Taiwan",Amazon Web Services, ap-northeast-1-tpe-1a,25.04776,121.53185
"Taipei , Taiwan",Google Cloud, tsa-zone1-456,25.04776,121.53185
"Taipei , Taiwan",Google Cloud, tsa-zone1-99004,25.04776,121.53185
"Taipei , Taiwan",Google Cloud, tsa-zone1-2886,25.04776,121.53185
"Bangkok , Thailand",Amazon Web Services, ap-southeast-1-bkk-1a,13.75398,100.50144
"Atlanta , United States",Amazon Web Services, us-east-1-atl-1a,33.749,-84.38798
"Atlanta , United States",Google Cloud, dfw-zone1-4,33.749,-84.38798
"Boston , United States",Amazon Web Services, us-east-1-bos-1a,42.35843,-71.05977
"Chicago , United States",Amazon Web Services, us-east-1-chi-1a,41.85003,-87.65005
